Partner Name,Domain / Capability,Page,Section,Field,Current Content on Website,Question for Partner,Your Response
Priyabrata Padhi,D2C & Consumer,Domains Page,What Clients Come to Us For,Client Problem 4,"""We've hit product-market fit but repeat purchase is our ceiling. Retention is broken at scale.""",Real or replace?,
Priyabrata Padhi,D2C & Consumer,Domains Page,What We Do in D2C,Capability 1,Full-funnel GTM and channel strategy,Accurate? Change?,
Priyabrata Padhi,D2C & Consumer,Domains Page,What We Do in D2C,Capability 2,Offline distribution and retail expansion,Accurate?,
Priyabrata Padhi,D2C & Consumer,Domains Page,What We Do in D2C,Capability 3,AI-native D2C operating system,Accurate? This is forward-looking — comfortable with it?,
Priyabrata Padhi,Revenue Growth GTM & Marketing,Capabilities Page,Capability Card,Deliverable 5,Consumer brand positioning and D2C performance marketing,Accurate for your work? Change if needed.,
Priyabrata Padhi,Revenue Growth GTM & Marketing,Capabilities Page,Capability Card,Deliverable 6,Offline channel expansion and omnichannel growth,Accurate? Change if needed.,
,,,,,,,
RAJESH RAMANATHAN,,,,,,,
Rajesh Ramanathan,BFSI,Domains Page,Domain Card,Problem Statement,"Your FinTech product is live. Compliance and portfolio scale are the next wall.",Does this one-liner feel accurate for BFSI clients? What would you change?,
Rajesh Ramanathan,BFSI,Domains Page,Domain Card,Capability 1,Risk model calibration for growing loan books,Right capability to highlight first? Reword?,
Rajesh Ramanathan,BFSI,Domains Page,Domain Card,Capability 2,Regulatory expansion across states and products,Accurate?,
Rajesh Ramanathan,BFSI,Domains Page,Domain Card,Capability 3,Compliance and onboarding stack modernisation,Accurate? Replace?,
Rajesh Ramanathan,BFSI,Domains Page,Problem We Solve,Full Paragraph,"Indian BFSI is maturing fast. The opportunity is no longer just in payments. It's in lending infrastructure, embedded finance, insurtech, and B2B financial workflows. But execution here requires deep regulatory knowledge and risk discipline most product teams don't have.","Does this describe the real BFSI problem? Please rewrite if needed.",
Rajesh Ramanathan,BFSI,Domains Page,What Clients Come to Us For,Client Problem 1,"""We've crossed ₹100 Cr in disbursals but our risk model isn't calibrated for the portfolio size we're at.""",Real client problem you have heard? Replace if needed.,
Rajesh Ramanathan,BFSI,Domains Page,What Clients Come to Us For,Client Problem 2,"""Enterprise deals are coming in but our onboarding and compliance stack can't handle the volume.""",Real or replace?,
Rajesh Ramanathan,BFSI,Domains Page,What Clients Come to Us For,Client Problem 3,"""We're operating in 3 states. Expanding nationally means 12 different regulatory contexts we're not ready for.""",Real or replace?,
Rajesh Ramanathan,BFSI,Domains Page,What Clients Come to Us For,Client Problem 4,"""Our NPA rates are acceptable now but we know they'll blow up if we scale the book without a better model.""",Real or replace?,
Rajesh Ramanathan,BFSI,Domains Page,What We Do in BFSI,Capability 1,Risk model design and portfolio calibration,Accurate? Change?,
Rajesh Ramanathan,BFSI,Domains Page,What We Do in BFSI,Capability 2,Regulatory compliance and multi-state expansion,Accurate?,
Rajesh Ramanathan,BFSI,Domains Page,What We Do in BFSI,Capability 3,AI-led financial operations and underwriting,Accurate? Change?,
,,,,,,,
DR RACHIT NEGI,,,,,,,
Dr Rachit Negi,Healthcare,Domains Page,Domain Card,Problem Statement,"You have hospital clients. Every deployment is still fully custom.",Does this one-liner feel accurate for Healthcare clients? What would you change?,
Dr Rachit Negi,Healthcare,Domains Page,Domain Card,Capability 1,Productisation to reduce professional services cost,Right capability to highlight first? Reword?,
Dr Rachit Negi,Healthcare,Domains Page,Domain Card,Capability 2,Tier 2 and Tier 3 hospital expansion GTM,Accurate?,
Dr Rachit Negi,Healthcare,Domains Page,Domain Card,Capability 3,Clinical validation and peer recognition pathway,Accurate? Replace?,
Dr Rachit Negi,Healthcare,Domains Page,Problem We Solve,Full Paragraph,"The healthcare digitisation opportunity in India is massive, but the graveyard of failed health-tech products is bigger. The gap is almost always the same: tech built without clinical workflow understanding, and GTM that tries to sell to hospitals without understanding procurement.","Does this describe the real Healthcare problem? Please rewrite if needed.",
Dr Rachit Negi,Healthcare,Domains Page,What Clients Come to Us For,Client Problem 1,"""We have 15 hospital clients but every deployment is custom. We can't standardise without losing deals.""",Real client problem you have heard? Replace if needed.,
Dr Rachit Negi,Healthcare,Domains Page,What Clients Come to Us For,Client Problem 2,"""We're growing ARR but professional services are eating 60% of revenue. We need to productise.""",Real or replace?,
Dr Rachit Negi,Healthcare,Domains Page,What Clients Come to Us For,Client Problem 3,"""We need to expand from metros to Tier 2 cities but the procurement dynamics are completely different.""",Real or replace?,
Dr Rachit Negi,Healthcare,Domains Page,What Clients Come to Us For,Client Problem 4,"""Clinical validation worked in 2 hospitals. Getting peer-reviewed and nationally recognised is the next gate.""",Real or replace?,
Dr Rachit Negi,Healthcare,Domains Page,What We Do in Healthcare,Capability 1,Clinical product validation and standardisation,Accurate? Change?,
Dr Rachit Negi,Healthcare,Domains Page,What We Do in Healthcare,Capability 2,B2B hospital sales and procurement GTM,Accurate?,
Dr Rachit Negi,Healthcare,Domains Page,What We Do in Healthcare,Capability 3,Tier 2 and Tier 3 market expansion,Accurate? Change?,
,,,,,,,
ALOK KUMAR,,,,,,,
Alok Kumar,AI Services,Capabilities Page,Capability Card,Card Title,AI Services,Does this title represent your work accurately? What would you rename it?,
Alok Kumar,AI Services,Capabilities Page,Capability Card,Description,"From AI strategy to working system. No pilots that never ship. No tech debt that kills scale.",Does this one-liner describe what you deliver? Rewrite if needed.,
Alok Kumar,AI Services,Capabilities Page,Capability Card,Deliverable 1,AI strategy and use-case prioritisation,Accurate for your work? Change if needed.,
Alok Kumar,AI Services,Capabilities Page,Capability Card,Deliverable 2,AI product scoping and architecture and MVP build,Accurate? Change if needed.,
Alok Kumar,AI Services,Capabilities Page,Capability Card,Deliverable 3,Agentic automation and workflow AI,Accurate? Change if needed.,
Alok Kumar,AI Services,Capabilities Page,Capability Card,Deliverable 4,Model fine-tuning and evaluation and deployment,Accurate? Change if needed.,
Alok Kumar,AI Services,Capabilities Page,Capability Card,Deliverable 5,Data platform and AI-readiness buildout,Accurate? Change if needed.,
Alok Kumar,AI Services,Capabilities Page,Capability Card,Deliverable 6,Tech architecture review and debt remediation,Accurate? Change if needed.,
,,,,,,,
PAROOL DUGGAL,,,,,,,
Parool Duggal,People & Org Building,Capabilities Page,Capability Card,Card Title,Talent Culture & Organisational Design,Does this title represent your work accurately? What would you rename it?,
Parool Duggal,People & Org Building,Capabilities Page,Capability Card,Description,"Scaling a company means scaling your people. Most founders figure this out 12 months too late.",Does this one-liner describe what you deliver? Rewrite if needed.,
Parool Duggal,People & Org Building,Capabilities Page,Capability Card,Deliverable 1,Founding team gap analysis and role definition,Accurate for your work? Change if needed.,
Parool Duggal,People & Org Building,Capabilities Page,Capability Card,Deliverable 2,Org design for Series A and beyond,Accurate? Change if needed.,
Parool Duggal,People & Org Building,Capabilities Page,Capability Card,Deliverable 3,Hiring systems and culture design and leadership onboarding,Accurate? Change if needed.,
Parool Duggal,People & Org Building,Capabilities Page,Capability Card,Deliverable 4,Performance frameworks for operator-led teams,Accurate? Change if needed.,
Parool Duggal,People & Org Building,Capabilities Page,Capability Card,Deliverable 5,ESOPs and compensation benchmarking and retention design,Accurate? Change if needed.,
Parool Duggal,People & Org Building,Capabilities Page,Capability Card,Deliverable 6,Interim leadership and CXO transition planning,Accurate? Change if needed.,
